account_name,caption,comment_count,share_count,like_count,platform,hashtags,mentions,engagement_score,caption_length,word_count,sentiment_score,hashtag_count,mention_count
McDonald's,SWIPE TO SEE WHAT PRIZES ARE LEFT!!! IT’S NOT TOO LATE TO GET YOUR BAG!!! PLAY MONOPOLY AT MCDONALDS FOR A CHANCE TO WIN ONE OF THESE GREAT PRIZES!!!,128,31,299,Facebook,,,458,149,29,0.303515625,0,0
McDonald's,"6 episodes
25 Grimace family members
1 wacky adventure

watch the full series now on YouTube",413,59,462,Facebook,,,934,92,16,0.425,0,0
McDonald's,my dms can rest now,612,33,393,Facebook,,,1038,19,5,0.0,0,0
McDonald's,"MONOPOLY IS BACK AT McD’S! AVAILABLE ALL DAY! REGISTER AND PLAY IN THE APP TO WIN BIG! Sorry for shouting, but I’m excited",1781,792,2677,Facebook,,,5250,122,23,0.19583333333333333,0,0
McDonald's,it all started with a McDonald's napkin... a simple sketch became a lifeline for kids needing opportunity and purpose,271,71,363,Facebook,,,705,117,19,0.0,0,0
McDonald's,"HELLO!! IT’S MR. MONOPOLY AND I’M TAKING OVER!!!
 
I HAVE URGENT NEWS: MONOPOLY IS COMING BACK TO McDONALD’S ON 10/6/25 WITH TWO WAYS TO PEEL!! PEEL ON PACKAGING!! PEEL DIGITALLY IN THE APP!! 

PRE-REGISTER AND LEARN MORE IN THE APP TO GET UR BAG!",1254,1415,4082,Facebook,,,6751,247,44,0.20833333333333334,0,0
McDonald's,the fog closes in… on the Silent Hill McDonalds,4964,15452,61362,Facebook,,,81778,47,9,0.0,0,0
McDonald's,new episode alert! will Grimace and the crew win burgerball and find Ronald??,86,49,478,Facebook,,,613,77,13,0.48522727272727273,0,0
McDonald's,10/10 fit match 😍TinyTAN Encore Edition out now,830,2275,18283,Facebook,,,21388,47,8,0.4,0,0
McDonald's,"M0N0pOLY
OCTOBER!!!
1-844-GT-URBAG….
YOU MIGHT WANNA DOWNLOAD MCD APP",3402,1675,7213,Facebook,,,12290,69,9,0.0,0,0
McDonald's,scrolling thru episode 2 of Lost In McDonaldland like,184,31,427,Facebook,,,642,53,9,0.0,0,0
McDonald's,the portal to McDonaldland just opened. episode 1 out now,347,154,935,Facebook,,,1436,57,10,0.0,0,0
McDonald's,"extra value meals are back, pull thru",2305,385,3500,Facebook,,,6190,37,7,0.0,0,0
McDonald's,whoever said “all that glitters isn’t gold” never put new Special Edition Gold Sauce on it. out now,767,256,1612,Facebook,,,2635,99,18,0.24675324675324675,0,0
McDonald's,"come with me to get in my feels 😭TinyTAN Happy Meal, out now",2677,2673,31671,Facebook,,,37021,60,13,0.8,0,0
McDonald's,the characters u remember are back for a new adventure. Lost in McDonaldland drops on 9.9,400,310,2135,Facebook,,,2845,89,16,0.06818181818181818,0,0
McDonald's,"thank u to everyone who has taken a trip to McDonaldland! i love ur excitement for the collectible tins, so im happy to share that they are now available with any purchase, and u can still get the McDonaldland meal through 9.7",925,202,1588,Facebook,,,2715,226,42,0.30000000000000004,0,0
Starbucks,It’s official: Starbucks is the official coffee partner of Team USA and LA28 Olympic Games.,1238,149,2423,Facebook,,,3810,91,15,0.0,0,0
Starbucks,"The wait is over! A new FARM Rio Global ♥️ Starbucks collaboration drops today in the U.S. Take a sip. (Latin America + Brazil, your turn is coming soon on May 20.)",1719,238,1837,Facebook,,,3794,164,32,0.06818181818181818,0,0
Starbucks,"The countdown is on: the FARM Rio Global ♥️ Starbucks partnership is back, coloring the world one sip at a time. Available May 13 in the U.S. and Canada and May 20 in Latin America + Brazil.",629,122,1385,Facebook,,,2136,190,37,0.13333333333333333,0,0
Starbucks,and of course the trusty: 😊,1730,261,2397,Facebook,,,4388,27,6,0.0,0,0
Starbucks,"Great coffee, better company. ☕️

📍NYC, São Paulo, Paris, Los Angeles, CDMX, Kansas City",1261,170,1172,Facebook,,,2603,88,14,0.65,0,0
Starbucks,"Come on in, we're glad you're here.",2292,615,2963,Facebook,,,5870,35,7,0.5,0,0
Starbucks,Happy holidays from us to you. (U.S. and Canada)​,1906,434,4339,Facebook,,,6679,49,9,0.8,0,0
Starbucks,"The new Starbucks® Milano Duetto coffees inspired us to go to Colombia and Milan for the ultimate adventure. Follow along as a barista and customer who became best friends discover the story behind our new roasts.

To watch their full journey, see link in bio. 💚☕",704,179,983,Facebook,,,1866,263,46,0.20378787878787877,0,0
Starbucks,"Cheers to forever coffee dates. 💚 Thanks for sharing your love story, Scott and Linda.",1896,1216,15566,Facebook,,,18678,86,15,0.35,0,0
Starbucks,Let’s glow. 💫 Pumpkin Spice Latte and Pumpkin Cream Cold Brew are back. (U.S. and Canada),1329,479,2812,Facebook,,,4620,89,16,-0.3,0,0
Starbucks,Sun-kissed bliss. ☀️ Summer-Berry Starbucks Refreshers® Beverages with raspberry flavored pearls. (U.S. and Canada),704,156,1204,Facebook,,,2064,115,14,0.0,0,0
Starbucks,New Iced Energy. ⚡️ Handcrafted with iced tea and sparkling fruit flavors. Available in the U.S. Venti only. 180-205 mg caffeine.,1622,214,2132,Facebook,,,3968,129,21,0.1787878787878788,0,0
Starbucks,Things are heating up. 🔥🌶️,2973,234,4582,Facebook,,,7789,26,5,0.0,0,0
Starbucks,The best. ✨ #Starbucks,1662,827,3831,Facebook,,,6320,22,4,1.0,0,0
Starbucks,"Welcome to the lineup, Lavender. 💜 Introducing the new Iced Lavender Oatmilk Latte & Iced Lavender Cream Oatmilk Matcha (includes dairy). 

(U.S. & Canada)",3504,747,8712,Facebook,,,12963,155,24,0.4681818181818182,0,0
Starbucks,"A little kindness goes a long way. 💚 Send this card to someone you care about, thoughtfully designed by Séverine Assous.",771,257,1671,Facebook,,,2699,120,21,0.054166666666666675,0,0
